,text,phonetics,segmented_text,n_syl_mismatches,n_stress_inconsistencies,used_method_for_syl_text,phonetics_alt,n_alternatives
10,If I ever needed a fighter in my life I need one now.,ɪ0_f aj1 ɛ1|v_ɚ0 ɲ_iː1|dʲ_ɪ0_d ej1 f_aj1|t_ɚ0 n̩1 m_aj1 l_aj1_f aj1 ɲ_iː1_d w_ɐ1_n n_aw1,If I ev|er nee|ded a fight|er in my life I need one now,[],[],"['1 vowel = 1 syl', 'acronym', 'dataset', 'SonoriPy', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'acronym', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['ɪ0_f'], ['aj1'], ['ɛ1|v_ɚ0'], ['ɲ_iː1|dʲ_ɪ0_d', 'ɲ_iː1|ɾʲ_ɪ0_d'], ['ej1'], ['f_aj1|t_ɚ0', 'f_aj1|ɾ_ɚ0'], ['n̩1', 'ɪ1_n'], ['m_aj1', 'm_ɑ1', 'm_ə1'], ['l_aj1_f'], ['aj1'], ['ɲ_iː1_d'], ['w_ɐ1_n'], ['n_aw1']]","[1, 1, 1, 2, 1, 2, 2, 3, 1, 1, 1, 1, 1]"
11,Gregson shoved back his chair and rose to his feet.,ɟ_ɹ_ɛ1|ɡ_s_ə0_n ʃ_ɐ1_v_d b_æ1_k ç_ɪ1_z tʃ_ɛ1_ɹ n̩0 ɹ_ow1_z t_ə0 ç_ɪ1_z fʲ_iː1_t,Gre|gson shoved back his chair and rose to his feet,[],[],"['SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['ɟ_ɹ_ɛ1|ɡ_s_ə0_n'], ['ʃ_ɐ1_v_d'], ['b_æ1_k'], ['ç_ɪ1_z'], ['tʃ_ɛ1_ɹ'], ['n̩0', 'n̩0_d', 'æ0_n', 'æ0_n_d', 'æ0_n_ʔ', 'æ0_ʔ', 'ɛ0_n'], ['ɹ_ow1_z'], ['t_ə0', 'tʰ_ʉː0', 'tʰ_ʊ0', 'ɾ_ə0'], ['ç_ɪ1_z'], ['fʲ_iː1_t', 'fʲ_iː1_ʔ']]","[1, 1, 1, 1, 1, 7, 1, 4, 1, 2]"
12,"He was a head shorter than his companion, of almost delicate physique.",iː0 w_ɐ0_z ej1 h_ɛ1_d ʃ_ɒ1_ɹ|t_ɚ0 d̪_n̩0 ç_ɪ1_z kʰ_ə0_m|pʰ_æ1|ɲ_ə0_n ə0 ow1|m_ow0_s_t d_ɛ1|ʎ_ɪ0|k_ə0_t fʲ_ɪ0|z_ɪ1_k,He was a head shor|ter than his com|pan|ion of al|most del|i|cate phy|sique,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', 'dataset', 'dataset']","[['iː0', 'ç_iː0'], ['w_ɐ0_z', 'w_ɑ0_z', 'w_ə0_z'], ['ej1'], ['h_ɛ1_d'], ['ʃ_ɒ1_ɹ|t_ɚ0', 'ʃ_ɒ1_ɹ|ɾ_ɚ0'], ['d̪_n̩0', 'd̪_æ0_n', 'd̪_ɪ0_n', 'ð_n̩0', 'ð_æ0_n', 'ð_ɪ0_n'], ['ç_ɪ1_z'], ['kʰ_ə0_m|pʰ_æ1|ɲ_ə0_n'], ['ə0', 'ə0_v'], ['ow1|m_ow0_s_t', 'ɑ1_ɫ|m_ow0_s_t', 'ɒ1_ɫ|m_ow0_s_t', 'ɒː1|m_ow0_s_t'], ['d_ɛ1|ʎ_ɪ0|k_ə0_t', 'd_ɛ1|ʎ_ɪ0|k_ə0_ʔ'], ['fʲ_ɪ0|z_ɪ1_k']]","[2, 3, 1, 1, 2, 6, 1, 1, 2, 4, 2, 1]"
13,"Now you're coming down to business, Phil, he exclaimed.",n_aw1 j_ɚ0 kʰ_ɐ1|mʲ_ɪ0_ŋ d_aw1_n t_ə0 bʲ_ɪ1|z_ɲ_ɪ0_s fʲ_ɪ1_ɫ iː0 ɛ0_k_s|k_l_ej1_m_d,Now you're com|ing down to busi|ness Phil he ex|claimed,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy']","[['n_aw1'], ['j_ɚ0', 'j_ʉː0|ɚ0', 'j_ʊ0_ɹ'], ['kʰ_ɐ1|mʲ_ɪ0_ŋ'], ['d_aw1_n'], ['t_ə0', 'tʰ_ʉː0', 'tʰ_ʊ0', 'ɾ_ə0'], ['bʲ_ɪ1|z_ɲ_ɪ0_s', 'bʲ_ɪ1|z_ɲ_ɪ0_z'], ['fʲ_ɪ1_ɫ'], ['iː0', 'ç_iː0'], ['ɛ0_k_s|k_l_ej1_m_d']]","[1, 3, 1, 1, 4, 2, 1, 2, 1]"
14,It's the aurora borealis.,ɪ0_t_s d̪_iː0 ɒ0|ɹ_ɒː1|ɹ_ə0 b_ɒ0|ɹ_i0|æ1|ʎ_ɪ0_s,It's the au|ro|ra bo|re|a|lis,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'SonoriPy']","[['ɪ0_t_s', 'ɪ0_ɾ_s', 'ɪ0_ʔ_s'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['ɒ0|ɹ_ɒː1|ɹ_ə0', 'ə0|ɹ_ɒː1|ɹ_ə0'], ['b_ɒ0|ɹ_i0|æ1|ʎ_ɪ0_s']]","[3, 12, 2, 1]"
15,"There's Fort Churchill, a rifle-shot beyond the ridge, asleep.",d̪_ɚ1_z f_ɒ1_ɹ_t tʃ_ɝ1|tʃ_ɪ0_ɫ ej1 ɹ_aj1|f_ɫ̩0-ʃ_ɑ1_t bʲ_i0|j_ɑ1_n_d d̪_iː0 ɹ_ɪ1_dʒ ə0|s_ʎ_iː1_p,There's Fort Church|ill a ri|fle-shot be|yond the ridge a|sleep,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset-1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['d̪_ɚ1_z', 'd̪_ɛ1_ɹ_z', 'ð_ɚ1_z', 'ð_ɛ1_ɹ_z'], ['f_ɒ1_ɹ_t', 'f_ɒ1_ɹ_ʔ'], ['tʃ_ɝ1|tʃ_ɪ0_ɫ'], ['ej1'], ['ɹ_aj1|f_ɫ̩0-ʃ_ɑ1_t', 'ɹ_aj1|f_ɫ̩0-ʃ_ɑ1_ʔ'], ['bʲ_i0|j_ɑ1_n_d'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['ɹ_ɪ1_dʒ'], ['ə0|s_ʎ_iː1_p']]","[4, 2, 1, 1, 2, 1, 12, 1, 1]"
16,From that moment his friendship for Belize turns to hatred and jealousy.,f_ɹ_ɐ0_m d̪_æ1_t m_ow1|m_n̩0_t ç_ɪ1_z f_ɹ_ɛ1_n|d_ʃ_ɪ0_p f_ɒ0_ɹ b_ej0|ʎ_iː1_z tʰ_ɝ1_n_z t_ə0 ç_ej1|t_ɹ_ɪ0_d n̩0 dʒ_ɛ1|l_ə0|s_i0,From that mo|ment his friend|ship for Be|lize turns to ha|tred and jeal|ous|y,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset']","[['f_ɹ_ɐ0_m'], ['d̪_æ1_t', 'd̪_æ1_ɾ', 'd̪_æ1_ʔ', 'l_æ1_t', 'l_æ1_ɾ', 'l_æ1_ʔ', 'n_æ1_t', 'n_æ1_ɾ', 'n_æ1_ʔ', 'z_æ1_t', 'z_æ1_ɾ', 'z_æ1_ʔ', 'ð_æ1_t', 'ð_æ1_ɾ', 'ð_æ1_ʔ'], ['m_ow1|m_n̩0_t', 'm_ow1|m_ɛ0_n_t'], ['ç_ɪ1_z'], ['f_ɹ_ɛ1_n|d_ʃ_ɪ0_p'], ['f_ɒ0_ɹ', 'f_ɚ0'], ['b_ej0|ʎ_iː1_z', 'b_ə0|ʎ_iː1_z', 'b_ɛ0|ʎ_iː1_z'], ['tʰ_ɝ1_n_z'], ['t_ə0', 'tʰ_ʉː0', 'tʰ_ʊ0', 'ɾ_ə0'], ['ç_ej1|t_ɹ_ɪ0_d'], ['n̩0', 'n̩0_d', 'æ0_n', 'æ0_n_d', 'æ0_n_ʔ', 'æ0_ʔ', 'ɛ0_n'], ['dʒ_ɛ1|l_ə0|s_i0']]","[1, 15, 2, 1, 1, 2, 3, 1, 4, 1, 7, 1]"
17,There was a change now.,d̪_ɚ1 w_ɐ0_z ej1 tʃ_ej1_n_dʒ n_aw1,There was a change now,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['d̪_ɚ1', 'd̪_ɛ1_ɹ', 'ð_ɚ1', 'ð_ɛ1_ɹ'], ['w_ɐ0_z', 'w_ɑ0_z', 'w_ə0_z'], ['ej1'], ['tʃ_ej1_n_dʒ'], ['n_aw1']]","[4, 3, 1, 1, 1]"
18,"I followed the line of the proposed railroad, looking for chances.",aj1 f_ɑ1|l_ow0_d d̪_iː0 l_aj1_n ə0 d̪_iː0 p_ɹ_ə0|pʰ_ow1_z_d ɹ_ej1_ɫ|ɹ_ow0_d l_ʊ1|c_ɪ0_ŋ f_ɒ0_ɹ tʃ_æ1_n|s_ɪ0_z,I fo|llowed the line of the pro|posed rail|road loo|king for chan|ces,[],[],"['acronym', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', 'SonoriPy', '1 vowel = 1 syl', 'SonoriPy']","[['aj1'], ['f_ɑ1|l_ow0_d'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['l_aj1_n'], ['ə0', 'ə0_v'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['p_ɹ_ə0|pʰ_ow1_z_d'], ['ɹ_ej1_ɫ|ɹ_ow0_d'], ['l_ʊ1|c_ɪ0_ŋ'], ['f_ɒ0_ɹ', 'f_ɚ0'], ['tʃ_æ1_n|s_ɪ0_z']]","[1, 1, 12, 1, 2, 12, 1, 1, 1, 2, 1]"
19,Clubs and balls and cities grew to be only memories.,k_l_ɐ1_b_z n̩0 b_ɒː1_ɫ_z n̩0 s_ɪ1|tʲ_i0_z ɡ_ɹ_ʉː1 t_ə0 bʲ_i1 ow1_ɲ|ʎ_i0 m_ɛ1|m_ə0|ɹ_i0_z,Clubs and balls and cit|ies grew to be on|ly me|mo|ries,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'SonoriPy']","[['k_l_ɐ1_b_z'], ['n̩0', 'n̩0_d', 'æ0_n', 'æ0_n_d', 'æ0_n_ʔ', 'æ0_ʔ', 'ɛ0_n'], ['b_ɒː1_ɫ_z'], ['n̩0', 'n̩0_d', 'æ0_n', 'æ0_n_d', 'æ0_n_ʔ', 'æ0_ʔ', 'ɛ0_n'], ['s_ɪ1|tʲ_i0_z', 's_ɪ1|ɾʲ_i0_z'], ['ɡ_ɹ_ʉː1'], ['t_ə0', 'tʰ_ʉː0', 'tʰ_ʊ0', 'ɾ_ə0'], ['bʲ_i1', 'bʲ_iː1'], ['ow1_ɲ|ʎ_i0'], ['m_ɛ1|m_ə0|ɹ_i0_z']]","[1, 7, 1, 7, 2, 1, 4, 2, 1, 1]"
20,It fairly clubbed me into recognizing it.,ɪ0_t f_ɛ1_ɹ|ʎ_i0 k_l_ɐ1_b_d mʲ_i1 ɪ0_n|tʰ_ʉ0 ɹ_ɛ1|k_ə0|n_aj0|z_ɪ0_ŋ ɪ0_t,It fair|ly clubbed me in|to rec|og|niz|ing it,[],[],"['1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl']","[['ɪ0_t', 'ɪ0_ɾ', 'ɪ0_ʔ'], ['f_ɛ1_ɹ|ʎ_i0'], ['k_l_ɐ1_b_d'], ['mʲ_i1', 'ɛ1|mʲ_iː0'], ['ɪ0_n|tʰ_ʉ0'], ['ɹ_ɛ1|k_ə0|n_aj0|z_ɪ0_ŋ', 'ɹ_ɛ1|k_ə0|ɡ_n_aj0|z_ɪ0_ŋ'], ['ɪ0_t', 'ɪ0_ɾ', 'ɪ0_ʔ']]","[3, 1, 1, 2, 1, 2, 3]"
