,text,phonetics,pronounciation_guide_hr,segmented_text,n_syl_mismatches,n_stress_inconsistencies,used_method_for_syl_text,phonetics_alt,n_alternatives
10,If I ever needed a fighter in my life I need one now.,IH1_F AY1 EH1|V_ER0 N_IY1|D_IH0_D AH0 F_AY1|T_ER0 IH0_N M_AY1 L_AY1_F AY1 N_IY1_D W_AH1_N N_AW1,if ay e|vuhr nee|did uh fay|tuhr in may layf ay need wuhn nau,If I ev|er nee|ded a fight|er in my life I need one now,[],[],"['1 vowel = 1 syl', 'acronym', 'dataset', 'SonoriPy', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'acronym', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['IH1_F', 'IH0_F'], ['AY1'], ['EH1|V_ER0'], ['N_IY1|D_IH0_D', 'N_IY1|D_IH0_D'], ['AH0', 'EY1'], ['F_AY1|T_ER0'], ['IH0_N', 'IH1_N'], ['M_AY1'], ['L_AY1_F'], ['AY1'], ['N_IY1_D'], ['W_AH1_N'], ['N_AW1']]","[2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1]"
11,Gregson shoved back his chair and rose to his feet.,G_R_EH1|G_S_AH0_N SH_AH1_V_D B_AE1_K HH_IH1_Z CH_EH1_R AH0_N_D R_OW1_Z T_UW1 HH_IH1_Z F_IY1_T,gre|gsuhn shuhvd bak hiz cher uhnd rowz too hiz feet,Gre|gson shoved back his chair and rose to his feet,[],[],"['SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['G_R_EH1|G_S_AH0_N'], ['SH_AH1_V_D'], ['B_AE1_K'], ['HH_IH1_Z', 'HH_IH0_Z'], ['CH_EH1_R'], ['AH0_N_D', 'AE1_N_D'], ['R_OW1_Z'], ['T_UW1', 'T_IH0', 'T_AH0'], ['HH_IH1_Z', 'HH_IH0_Z'], ['F_IY1_T']]","[1, 1, 1, 2, 1, 2, 1, 3, 2, 1]"
12,"He was a head shorter than his companion, of almost delicate physique.",HH_IY1 W_AA1_Z AH0 HH_EH1_D SH_AO1_R|T_ER0 DH_AE1_N HH_IH1_Z K_AH0_M|P_AE1_N|Y_AH0_N AH1_V AO1_L|M_OW2_S_T D_EH1|L_AH0|K_AH0_T F_AH0|Z_IY1_K,hee woz uh hed shawr|tuhr than hiz kuhm|pan|yuhn uhv awl|mowst de|luh|kuht fuh|zeek,He was a head shor|ter than his com|pan|ion of al|most del|i|cate phy|sique,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', 'dataset', 'dataset']","[['HH_IY1'], ['W_AA1_Z', 'W_AH0_Z'], ['AH0', 'EY1'], ['HH_EH1_D'], ['SH_AO1_R|T_ER0'], ['DH_AE1_N', 'DH_AH0_N'], ['HH_IH1_Z', 'HH_IH0_Z'], ['K_AH0_M|P_AE1_N|Y_AH0_N'], ['AH1_V'], ['AO1_L|M_OW2_S_T'], ['D_EH1|L_AH0|K_AH0_T'], ['F_AH0|Z_IY1_K']]","[1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1]"
13,"Now you're coming down to business, Phil, he exclaimed.",N_AW1 Y_UH1_R K_AH1|M_IH0_NG D_AW1_N T_UW1 B_IH1|Z_N_AH0_S F_IH1_L HH_IY1 IH0_K_S|K_L_EY1_M_D,nau yur kuh|ming daun too bi|znuhs fil hee iks|kleymd,Now you're com|ing down to busi|ness Phil he ex|claimed,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy']","[['N_AW1'], ['Y_UH1_R', 'Y_UW1_R'], ['K_AH1|M_IH0_NG'], ['D_AW1_N'], ['T_UW1', 'T_IH0', 'T_AH0'], ['B_IH1|Z_N_AH0_S', 'B_IH1|Z_N_IH0_S'], ['F_IH1_L'], ['HH_IY1'], ['IH0_K_S|K_L_EY1_M_D']]","[1, 2, 1, 1, 3, 2, 1, 1, 1]"
14,It's the aurora borealis.,IH1_T_S DH_AH0 ER0|AO1|R_AH0 B_AO2|R_IY0|AE1|L_AH0_S,its thuh uhr|aw|ruh baw|ree|a|luhs,It's the au|ro|ra bo|re|a|lis,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'SonoriPy']","[['IH1_T_S', 'IH0_T_S'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['ER0|AO1|R_AH0'], ['B_AO2|R_IY0|AE1|L_AH0_S']]","[2, 3, 1, 1]"
15,"There's Fort Churchill, a rifle-shot beyond the ridge, asleep.",DH_EH1_R_Z F_AO1_R_T CH_ER1|CH_IH0_L AH0 R_AY1|F_AH0_L-SH_AA1_T B_IH0|AA1_N_D DH_AH0 R_IH1_JH AH0|S_L_IY1_P,therz fawrt chuhr|chil uh ray|fuhl-shot bi|ond thuh ridj uh|sleep,There's Fort Church|ill a ri|fle-shot be|yond the ridge a|sleep,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset-1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['DH_EH1_R_Z'], ['F_AO1_R_T'], ['CH_ER1|CH_IH0_L', 'CH_ER1_CH|HH_IH0_L'], ['AH0', 'EY1'], ['R_AY1|F_AH0_L-SH_AA1_T'], ['B_IH0|AA1_N_D', 'B_IY2|AO1_N_D', 'B_IH0|AO1_N_D'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['R_IH1_JH'], ['AH0|S_L_IY1_P']]","[1, 1, 2, 2, 1, 3, 3, 1, 1]"
16,From that moment his friendship for Belize turns to hatred and jealousy.,F_R_AH1_M DH_AE1_T M_OW1|M_AH0_N_T HH_IH1_Z F_R_EH1_N|D_SH_IH0_P F_AO1_R B_EH0|L_IY1_Z T_ER1_N_Z T_UW1 HH_EY1|T_R_IH0_D AH0_N_D JH_EH1|L_AH0|S_IY0,fruhm that mow|muhnt hiz fren|dship fawr be|leez tuhrnz too hey|trid uhnd dje|luh|see,From that mo|ment his friend|ship for Be|lize turns to ha|tred and jeal|ous|y,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset']","[['F_R_AH1_M'], ['DH_AE1_T', 'DH_AH0_T'], ['M_OW1|M_AH0_N_T'], ['HH_IH1_Z', 'HH_IH0_Z'], ['F_R_EH1_N|D_SH_IH0_P', 'F_R_EH1_N|SH_IH0_P'], ['F_AO1_R', 'F_ER0', 'F_R_ER0'], ['B_EH0|L_IY1_Z'], ['T_ER1_N_Z'], ['T_UW1', 'T_IH0', 'T_AH0'], ['HH_EY1|T_R_IH0_D'], ['AH0_N_D', 'AE1_N_D'], ['JH_EH1|L_AH0|S_IY0']]","[1, 2, 1, 2, 2, 3, 1, 1, 3, 1, 2, 1]"
17,There was a change now.,DH_EH1_R W_AA1_Z AH0 CH_EY1_N_JH N_AW1,ther woz uh cheyndj nau,There was a change now,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['DH_EH1_R'], ['W_AA1_Z', 'W_AH0_Z'], ['AH0', 'EY1'], ['CH_EY1_N_JH'], ['N_AW1']]","[1, 2, 2, 1, 1]"
18,"I followed the line of the proposed railroad, looking for chances.",AY1 F_AA1|L_OW0_D DH_AH0 L_AY1_N AH1_V DH_AH0 P_R_AH0|P_OW1_Z_D R_EY1_L|R_OW2_D L_UH1|K_IH0_NG F_AO1_R CH_AE1_N|S_IH0_Z,ay fo|lowd thuh layn uhv thuh pruh|powzd reyl|rowd lu|king fawr chan|siz,I fo|llowed the line of the pro|posed rail|road loo|king for chan|ces,[],[],"['acronym', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', 'SonoriPy', '1 vowel = 1 syl', 'SonoriPy']","[['AY1'], ['F_AA1|L_OW0_D'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['L_AY1_N'], ['AH1_V'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['P_R_AH0|P_OW1_Z_D'], ['R_EY1_L|R_OW2_D'], ['L_UH1|K_IH0_NG'], ['F_AO1_R', 'F_ER0', 'F_R_ER0'], ['CH_AE1_N|S_IH0_Z', 'CH_AE1_N|S_IH0_Z']]","[1, 1, 3, 1, 1, 3, 1, 1, 1, 3, 2]"
19,Clubs and balls and cities grew to be only memories.,K_L_AH1_B_Z AH0_N_D B_AO1_L_Z AH0_N_D S_IH1|T_IY0_Z G_R_UW1 T_UW1 B_IY1 OW1_N|L_IY0 M_EH1|M_ER0|IY0_Z,kluhbz uhnd bawlz uhnd si|teez groo too bee own|lee me|muhr|eez,Clubs and balls and cit|ies grew to be on|ly me|mo|ries,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'SonoriPy']","[['K_L_AH1_B_Z'], ['AH0_N_D', 'AE1_N_D'], ['B_AO1_L_Z'], ['AH0_N_D', 'AE1_N_D'], ['S_IH1|T_IY0_Z'], ['G_R_UW1'], ['T_UW1', 'T_IH0', 'T_AH0'], ['B_IY1', 'B_IY0'], ['OW1_N|L_IY0'], ['M_EH1|M_ER0|IY0_Z']]","[1, 2, 1, 2, 1, 1, 3, 2, 1, 1]"
20,It fairly clubbed me into recognizing it.,IH1_T F_EH1_R|L_IY0 K_L_AH1_B_D M_IY1 IH1_N|T_UW0 R_EH1|K_AH0|G_N_AY2|Z_IH0_NG IH1_T,it fer|lee kluhbd mee in|too re|kuh|gnay|zing it,It fair|ly clubbed me in|to rec|og|niz|ing it,[],[],"['1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl']","[['IH1_T', 'IH0_T'], ['F_EH1_R|L_IY0'], ['K_L_AH1_B_D'], ['M_IY1'], ['IH1_N|T_UW0', 'IH0_N|T_UW1', 'IH0_N|T_AH0'], ['R_EH1|K_AH0|G_N_AY2|Z_IH0_NG'], ['IH1_T', 'IH0_T']]","[2, 1, 1, 1, 3, 1, 2]"
21,Hardly were our plans made public before we were met by powerful opposition.,HH_AA1_R|D_L_IY0 W_ER1 AW1_R P_L_AE1_N_Z M_EY1_D P_AH1|B_L_IH0_K B_IH0|F_AO1_R W_IY1 W_ER1 M_EH1_T B_AY1 P_AW1|ER0|F_AH0_L AA2|P_AH0|Z_IH1|SH_AH0_N,hor|dlee wuhr aur planz meyd puh|blik bi|fawr wee wuhr met bay pau|uhr|fuhl o|puh|zi|shuhn,Hard|ly were our plans made pub|lic be|fore we were met by pow|er|ful op|po|si|tion,[],[],"['dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset']","[['HH_AA1_R|D_L_IY0'], ['W_ER1'], ['AW1|ER0', 'AW1_R', 'AA1_R'], ['P_L_AE1_N_Z'], ['M_EY1_D'], ['P_AH1|B_L_IH0_K'], ['B_IH0|F_AO1_R', 'B_IY2|F_AO1_R'], ['W_IY1'], ['W_ER1'], ['M_EH1_T'], ['B_AY1'], ['P_AW1|ER0|F_AH0_L'], ['AA2|P_AH0|Z_IH1|SH_AH0_N']]","[1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]"
22,A combination of Canadian capital quickly organized and petitioned for the same privileges.,EY1 K_AA2_M|B_AH0|N_EY1|SH_AH0_N AH1_V K_AH0|N_EY1|D_IY0|AH0_N K_AE1|P_AH0|T_AH0_L K_W_IH1|K_L_IY0 AO1_R|G_AH0|N_AY2_Z_D AH0_N_D P_AH0|T_IH1|SH_AH0_N_D F_AO1_R DH_AH0 S_EY1_M P_R_IH1|V_IH0|L_AH0|JH_IH0_Z,ey kom|buh|ney|shuhn uhv kuh|ney|dee|uhn ka|puh|tuhl kwi|klee awr|guh|nayzd uhnd puh|ti|shuhnd fawr thuh seym pri|vi|luh|djiz,A com|bi|na|tion of Ca|na|di|an cap|i|tal quick|ly or|gan|ized and pe|ti|tioned for the same pri|vi|le|ges,[],[],"['acronym', 'dataset', '1 vowel = 1 syl', 'dataset', 'dataset', 'dataset', 'dataset', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy']","[['EY1'], ['K_AA2_M|B_AH0|N_EY1|SH_AH0_N'], ['AH1_V'], ['K_AH0|N_EY1|D_IY0|AH0_N'], ['K_AE1|P_AH0|T_AH0_L', 'K_AE1|P_IH0|T_AH0_L'], ['K_W_IH1|K_L_IY0'], ['AO1_R|G_AH0|N_AY2_Z_D'], ['AH0_N_D', 'AE1_N_D'], ['P_AH0|T_IH1|SH_AH0_N_D'], ['F_AO1_R', 'F_ER0', 'F_R_ER0'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['S_EY1_M'], ['P_R_IH1|V_L_AH0|JH_IH0_Z', 'P_R_IH1|V_L_IH0|JH_IH0_Z', 'P_R_IH1|V_IH0|L_AH0|JH_IH0_Z', 'P_R_IH1|V_IH0|L_IH0|JH_IH0_Z']]","[1, 1, 1, 1, 2, 1, 1, 2, 1, 3, 3, 1, 4]"
23,It was my reports from the north which chiefly induced people to buy.,IH1_T W_AA1_Z M_AY1 R_IH0|P_AO1_R_T_S F_R_AH1_M DH_AH0 N_AO1_R_TH W_IH1_CH CH_IY1|F_L_IY0 IH2_N|D_UW1_S_T P_IY1|P_AH0_L T_UW1 B_AY1,it woz may ri|pawrts fruhm thuh nawrth wich chee|flee in|doost pee|puhl too bay,It was my re|ports from the north which chief|ly in|duced peo|ple to buy,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['IH1_T', 'IH0_T'], ['W_AA1_Z', 'W_AH0_Z'], ['M_AY1'], ['R_IH0|P_AO1_R_T_S', 'R_IY0|P_AO1_R_T_S'], ['F_R_AH1_M'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['N_AO1_R_TH'], ['W_IH1_CH', 'HH_W_IH1_CH'], ['CH_IY1|F_L_IY0'], ['IH2_N|D_UW1_S_T'], ['P_IY1|P_AH0_L'], ['T_UW1', 'T_IH0', 'T_AH0'], ['B_AY1']]","[2, 2, 1, 2, 1, 3, 1, 2, 1, 1, 1, 3, 1]"
24,I was about to do this when cooler judgment prevailed.,AY1 W_AA1_Z AH0|B_AW1_T T_UW1 D_UW1 DH_IH1_S W_EH1_N K_UW1|L_ER0 JH_AH1|JH_M_AH0_N_T P_R_IH0|V_EY1_L_D,ay woz uh|baut too doo this wen koo|luhr djuh|djmuhnt pri|veyld,I was a|bout to do this when cool|er judg|ment pre|vailed,[],[],"['acronym', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', 'SonoriPy']","[['AY1'], ['W_AA1_Z', 'W_AH0_Z'], ['AH0|B_AW1_T'], ['T_UW1', 'T_IH0', 'T_AH0'], ['D_UW1'], ['DH_IH1_S', 'DH_IH0_S'], ['W_EH1_N', 'HH_W_EH1_N', 'W_IH1_N', 'HH_W_IH1_N'], ['K_UW1|L_ER0'], ['JH_AH1|JH_M_AH0_N_T'], ['P_R_IH0|V_EY1_L_D', 'P_R_IY0|V_EY1_L_D']]","[1, 2, 1, 3, 1, 2, 4, 1, 1, 2]"
25,It occurred to me that there would have to be an accounting.,IH1_T AH0|K_ER1_D T_UW1 M_IY1 DH_AE1_T DH_EH1_R W_UH1_D HH_AE1_V T_UW1 B_IY1 AE1_N AH0|K_AW1_N|T_IH0_NG,it uh|kuhrd too mee that ther wud hav too bee an uh|kaun|ting,It oc|curred to me that there would have to be an ac|count|ing,[],[],"['1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['IH1_T', 'IH0_T'], ['AH0|K_ER1_D'], ['T_UW1', 'T_IH0', 'T_AH0'], ['M_IY1'], ['DH_AE1_T', 'DH_AH0_T'], ['DH_EH1_R'], ['W_UH1_D'], ['HH_AE1_V'], ['T_UW1', 'T_IH0', 'T_AH0'], ['B_IY1', 'B_IY0'], ['AE1_N', 'AH0_N'], ['AH0|K_AW1_N|T_IH0_NG', 'AH0|K_AW1|N_IH0_NG']]","[2, 1, 3, 1, 2, 1, 1, 1, 3, 2, 2, 2]"
