,text,phonetics,segmented_text,n_syl_mismatches,n_stress_inconsistencies,used_method_for_syl_text,phonetics_alt,n_alternatives
10,If I ever needed a fighter in my life I need one now.,ɪ0_f aj1 ɛ1|v_ə0 ɲ_iː1|d_ɪ0_d ej1 f_aj1|t_ə0 ɪ1_n m_aj1 l_aj1_f aj1 ɲ_iː1_d w_ɐ1_n n_aw1,If I ev|er nee|ded a fight|er in my life I need one now,[],[],"['1 vowel = 1 syl', 'acronym', 'dataset', 'SonoriPy', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'acronym', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['ɪ0_f'], ['aj1'], ['ɛ1|v_ə0'], ['ɲ_iː1|d_ɪ0_d'], ['ej1'], ['f_aj1|t_ə0', 'f_aj1|ʔ_ə0'], ['ɪ1_n', 'ʔ_ɪ1_n'], ['m_aj1'], ['l_aj1_f'], ['aj1'], ['ɲ_iː1_d'], ['w_ɐ1_n', 'w_ɒ1_n'], ['n_aw1']]","[1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1]"
11,Gregson shoved back his chair and rose to his feet.,ɟ_ɹ_ɛ1|ɡ_s_ɒ0_n ʃ_ɐ1_v_d b_æ1_k ç_ɪ1_z tʃ_ɛː1 n̩0 ɹ_əw1_z t_ə0 ç_ɪ1_z fʲ_iː1_t,Gre|gson shoved back his chair and rose to his feet,[],[],"['SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['ɟ_ɹ_ɛ1|ɡ_s_ɒ0_n'], ['ʃ_ɐ1_v_d'], ['b_æ1_k'], ['ç_ɪ1_z'], ['tʃ_ɛː1'], ['n̩0', 'n̩0_d', 'æ0_n_d', 'ɛ0_n', 'ʔ_æ0_n_d', 'ʔ_ɛ0_n'], ['ɹ_əw1_z'], ['t_ə0', 'tʃ_ʉː0', 'tʰ_ʉː0'], ['ç_ɪ1_z'], ['fʲ_iː1_t', 'fʲ_iː1_ʔ']]","[1, 1, 1, 1, 1, 6, 1, 3, 1, 2]"
12,"He was a head shorter than his companion, of almost delicate physique.",i0 w_ɐ0_z ej1 h_ɛ1_d ʃ_ɒː1|t_ə0 d̪_æ0_n ç_ɪ1_z kʰ_ə0_m|pʰ_æ1|ɲ_n̩0 ɒ0_v ɒː1_ɫ|m_əw0_s_t d_ɛ1|ʎ_ɪ0|k_ə0_t f_ɪ0|z_ɪ1_k,He was a head shor|ter than his com|pan|ion of al|most del|i|cate phy|sique,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', 'dataset', 'dataset']","[['i0', 'ç_i0', 'ç_iː0'], ['w_ɐ0_z', 'w_ɒ0_z', 'w_ə0_z'], ['ej1'], ['h_ɛ1_d'], ['ʃ_ɒː1|t_ə0', 'ʃ_ɒː1|ʔ_ə0'], ['d̪_æ0_n', 'ð_æ0_n'], ['ç_ɪ1_z'], ['kʰ_ə0_m|pʰ_æ1|ɲ_n̩0'], ['ɒ0_v', 'ə0', 'ə0_v'], ['ɒː1_ɫ|m_əw0_s_t'], ['d_ɛ1|ʎ_ɪ0|k_ə0_t', 'd_ɛ1|ʎ_ɪ0|k_ə0_ʔ'], ['f_ɪ0|z_ɪ1_k']]","[3, 3, 1, 1, 2, 2, 1, 1, 3, 1, 2, 1]"
13,"Now you're coming down to business, Phil, he exclaimed.",n_aw1 j_ʉː0|ə0 kʰ_ɐ1|m_ɪ0_ŋ d_aw1_n t_ə0 b_ɪ1|z_ɲ_ɪ0_s f_ɪ1_ɫ i0 ɛ0_k_s|k_l_ej1_m_d,Now you're com|ing down to busi|ness Phil he ex|claimed,[1],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy']","[['n_aw1'], ['j_ʉː0|ə0'], ['kʰ_ɐ1|m_ɪ0_ŋ'], ['d_aw1_n'], ['t_ə0', 'tʃ_ʉː0', 'tʰ_ʉː0'], ['b_ɪ1|z_ɲ_ɪ0_s', 'b_ɪ1|z_ɲ_ɪ0_z'], ['f_ɪ1_ɫ'], ['i0', 'ç_i0', 'ç_iː0'], ['ɛ0_k_s|k_l_ej1_m_d']]","[1, 1, 1, 1, 3, 2, 1, 3, 1]"
14,It's the aurora borealis.,ɪ0_t_s d̪_iː0 ɒː0|ɹ_ɒː1|ɹ_ə0 b_ɒː0|ɹ_ɪ0|ə1|ʎ_ɪ0_s,It's the au|ro|ra bo|re|a|lis,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'SonoriPy']","[['ɪ0_t_s', 'ɪ0_ʔ_s'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['ɒː0|ɹ_ɒː1|ɹ_ə0', 'ə0|ɹ_ɒː1|ɹ_ə0'], ['b_ɒː|ɹ_ɪ_ə|ʎ_ɪ_s', 'b_ɒː0|ɹ_ɪ0|ə1|ʎ_ɪ0_s']]","[2, 12, 2, 2]"
15,"There's Fort Churchill, a rifle-shot beyond the ridge, asleep.",d̪_ɛː1_z f_ɒː1_t tʃ_ɜː1|tʃ_ɪ0_ɫ ej1 ɹ_aj1|f_ɫ̩0-ʃ_ɒ1_t bʲ_i0|j_ɒ1_n_d d̪_iː0 ɹ_ɪ1_dʒ ə0|s_ʎ_iː1_p,There's Fort Church|ill a ri|fle-shot be|yond the ridge a|sleep,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset-1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['d̪_ej1|ə0_z', 'd̪_ɛː1_z', 'ð_ej1|ə0_z', 'ð_ɛː1_z'], ['f_ɒː1_t', 'f_ɒː1_ʔ'], ['tʃ_ɜː1|tʃ_ɪ0_ɫ'], ['ej1'], ['ɹ_aj1|f_ɫ̩0-ʃ_ɒ1_t', 'ɹ_aj1|f_ɫ̩0-ʃ_ɒ1_ʔ'], ['bʲ_i0|j_ɒ1_n_d'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['ɹ_ɪ1_dʒ'], ['ə0|s_ʎ_iː1_p']]","[4, 2, 1, 1, 2, 1, 12, 1, 1]"
16,From that moment his friendship for Belize turns to hatred and jealousy.,f_ɹ_m̩0 d̪_æ1_t m_əw1|m_n̩0_t ç_ɪ1_z f_ɹ_ɛ1_n|d_ʃ_ɪ0_p f_ɒː0 b_ej0|ʎ_iː1_z tʰ_ɜː1_n_z t_ə0 ç_ej1|t_ɹ_ɪ0_d n̩0 dʒ_ɛ1|l_ə0|s_i0,From that mo|ment his friend|ship for Be|lize turns to ha|tred and jeal|ous|y,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset']","[['f_ɹ_m̩0', 'f_ɹ_ɒ0_m'], ['d̪_æ1_t', 'd̪_æ1_ʔ', 'ð_æ1_t', 'ð_æ1_ʔ'], ['m_əw1|m_n̩0_t'], ['ç_ɪ1_z'], ['f_ɹ_ɛ1_n|d_ʃ_ɪ0_p'], ['f_ɒː0', 'f_ə0'], ['b_ej0|ʎ_iː1_z', 'b_ə0|ʎ_iː1_z', 'b_ɛ0|ʎ_iː1_z'], ['tʰ_ɜː1_n_z'], ['t_ə0', 'tʃ_ʉː0', 'tʰ_ʉː0'], ['ç_ej1|t_ɹ_ɪ0_d', 'ç_ej1|tʃ_ɹ_ɪ0_d'], ['n̩0', 'n̩0_d', 'æ0_n_d', 'ɛ0_n', 'ʔ_æ0_n_d', 'ʔ_ɛ0_n'], ['dʒ_ɛ1|l_ə0|s_i0']]","[2, 4, 1, 1, 1, 2, 3, 1, 3, 2, 6, 1]"
17,There was a change now.,d̪_ɛː1 w_ɐ0_z ej1 tʃ_ej1_n_dʒ n_aw1,There was a change now,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['d̪_ej1|ə0', 'd̪_ɛː1', 'ð_ej1|ə0', 'ð_ɛː1'], ['w_ɐ0_z', 'w_ɒ0_z', 'w_ə0_z'], ['ej1'], ['tʃ_ej1_n_dʒ'], ['n_aw1']]","[4, 3, 1, 1, 1]"
18,"I followed the line of the proposed railroad, looking for chances.",aj1 f_ɒ1|l_əw0_d d̪_iː0 l_aj1_n ɒ0_v d̪_iː0 p_ɹ_ə0|pʰ_əw1_z_d ɹ_ej1_ɫ|ɹ_əw0_d l_ʊ1|c_ɪ0_ŋ f_ɒː0 tʃ_ɑː1_n|s_ɪ0_z,I fo|llowed the line of the pro|posed rail|road loo|king for chan|ces,[],[],"['acronym', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', 'SonoriPy', '1 vowel = 1 syl', 'SonoriPy']","[['aj1'], ['f_ɒ1|l_əw0_d'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['l_aj1_n'], ['ɒ0_v', 'ə0', 'ə0_v'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['p_ɹ_ə0|pʰ_əw1_z_d'], ['ɹ_ej1_ɫ|ɹ_əw0_d'], ['l_ʊ1|c_ɪ0_ŋ'], ['f_ɒː0', 'f_ə0'], ['tʃ_ɑː1_n|s_ɪ0_z']]","[1, 1, 12, 1, 3, 12, 1, 1, 1, 2, 1]"
19,Clubs and balls and cities grew to be only memories.,k_l_ɐ1_b_z n̩0 b_ɒː1_ɫ_z n̩0 s_ɪ1|tʲ_i0_z ɡ_ɹ_ʉː1 t_ə0 bʲ_iː1 əw1_ɲ|ʎ_i0 m_ɛ1|m_ə0|ɹ_i0_z,Clubs and balls and cit|ies grew to be on|ly me|mo|ries,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'SonoriPy']","[['k_l_ɐ1_b_z'], ['n̩0', 'n̩0_d', 'æ0_n_d', 'ɛ0_n', 'ʔ_æ0_n_d', 'ʔ_ɛ0_n'], ['b_ɒː1_ɫ_z'], ['n̩0', 'n̩0_d', 'æ0_n_d', 'ɛ0_n', 'ʔ_æ0_n_d', 'ʔ_ɛ0_n'], ['s_ɪ1|tʲ_i0_z'], ['ɡ_ɹ_ʉː1'], ['t_ə0', 'tʃ_ʉː0', 'tʰ_ʉː0'], ['bʲ_iː1'], ['əw1_ɲ|ʎ_i0'], ['m_ɛ1|m_ə0|ɹ_i0_z']]","[1, 6, 1, 6, 1, 1, 3, 1, 1, 1]"
20,It fairly clubbed me into recognizing it.,ɪ0_t f_ɛː1|ʎ_i0 k_l_ɐ1_b_d mʲ_iː1 ɪ0_n|tʰ_ʉː0 ɹ_ɛ1|k_ə0|n_aj0|z_ɪ0_ŋ ɪ0_t,It fair|ly clubbed me in|to rec|og|niz|ing it,[],[],"['1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl']","[['ɪ0_t', 'ɪ0_ʔ'], ['f_ɛː1|ʎ_i0'], ['k_l_ɐ1_b_d'], ['mʲ_iː1'], ['ɪ0_n|tʰ_ʉː0'], ['ɹ_ɛ1|k_ə0|n_aj0|z_ɪ0_ŋ'], ['ɪ0_t', 'ɪ0_ʔ']]","[2, 1, 1, 1, 1, 1, 2]"
21,Hardly were our plans made public before we were met by powerful opposition.,h_ɑː1|dʲ_ʎ_i0 w_ə0 ɑː0 p_l_æ1_n_z m_ej1_d pʰ_ɐ1|b_ʎ_ɪ0_k b_ɪ0|f_ɒː1 w_iː0 w_ə0 m_ɛ1_t b_aj1 pʰ_aw1|ə0|f_ɫ̩0 ɒ0|p_ə0|z_ɪ1|ʃ_ə0_n,Hard|ly were our plans made pub|lic be|fore we were met by pow|er|ful op|po|si|tion,[],[],"['dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset']","[['h_ɑː1|dʲ_ʎ_i0'], ['w_ə0', 'w_ɛː0', 'w_ɜː0'], ['aw0|ə0', 'æ0|ɒː0', 'ɑː0'], ['p_l_æ1_n_z'], ['m_ej1_d'], ['pʰ_ɐ1|b_ʎ_ɪ0_k'], ['b_ɪ0|f_ɒː1'], ['w_iː0'], ['w_ə0', 'w_ɛː0', 'w_ɜː0'], ['m_ɛ1_t', 'm_ɛ1_ʔ'], ['b_aj1'], ['pʰ_aw1|ə0|f_ɫ̩0'], ['ɒ0|p_ə0|z_ɪ1|ʃ_ə0_n']]","[1, 3, 3, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1]"
